Hood#,Total Population,Child0-14,Youth15-24,Seniors65,  Total visible minority population,    South Asian,    Chinese,    Black,    Filipino,    Latin American,    Arab,    Southeast Asian,    West Asian,    Korean,    Japanese,"    Visible minority, n.i.e.",    Multiple visible minorities,  Not a visible minority,Total - Mobility status 5 years ago,  Non-movers,  Movers,Total recent immigrant population in private households by selected places of birth,Middle East/Western Asia,Eastern,South East,Southern,    Other places of birth in Asia,Americas w/o USA,  Europe,  Africa,Total population aged 15 years and over by labour force status ,  In the labour force ,    Unemployed,  Not in the labour force,"  No certificate, diploma or degree","    College, CEGEP or other non-university certificate or diploma",    University certificate or diploma below bachelor level,Total number of private households by tenure,  Owner,  Renter,  % of owner households spending 30% or more of household total income on shelter costs,  Major repairs needed,  Average monthly shelter costs for rented dwellings ($),  Average after-tax family income $ (Family income in 2010 of economic families),Household income in 2010 of private households,  Median household total income $,  Median after-tax household income $
1,34100,5970,5405,4305,26475,13080,695,6385,1470,1220,235,820,220,100,55,1615,580,6855,31460,20635,10820,2750,0,65,250,1495,40,530,40,260,27365,17610,1750,9755,6170,4375,1445,10130,7075,3050,27.9,415,945,72820,10130,66241,59703
2,32790,7665,5020,2945,28175,12720,200,8285,680,870,1605,560,1160,85,0,1565,435,4525,30105,16210,13895,5850,1380,0,120,2625,30,710,75,830,24980,14655,2175,10320,6855,3325,1090,9610,4540,5070,33.3,1100,921,57411,9610,49934,46986
3,10140,1825,1350,1745,6285,2285,105,1530,485,670,210,200,285,0,10,225,275,3705,9380,6290,3085,1070,195,0,80,400,0,190,15,130,8135,4825,530,3315,1970,1180,650,3225,2080,1145,25.1,170,887,70838,3225,62042,57522
4,10485,1585,1315,1915,4425,1435,200,1025,245,650,55,85,40,90,50,385,175,5735,9705,6890,2815,800,0,35,20,405,0,255,50,0,8600,5270,590,3330,2095,1450,350,3945,2010,1935,19.7,340,857,69367,3945,56545,51194
5,9550,2110,1380,1095,5510,925,120,2150,605,695,80,400,265,55,0,70,145,4030,8935,6200,2740,545,30,0,50,80,0,205,55,90,7495,4640,575,2850,2025,1395,260,3225,1910,1315,34.3,320,966,61196,3225,50846,49425
6,21725,4465,2895,3420,12180,3965,450,4415,555,815,225,275,730,175,40,240,290,9440,20160,12555,7610,1890,90,0,190,525,60,240,120,550,17255,9855,920,7400,4395,2775,765,7655,3975,3675,25.7,670,1052,68145,7655,55454,50714
7,21345,3375,2675,4515,7915,2425,460,2250,435,950,175,115,245,365,80,195,215,13520,20295,13130,7170,1225,65,55,60,300,0,175,280,245,17920,10190,835,7730,3760,2650,1140,8145,4605,3540,19.7,515,1124,79241,8140,63701,57048
8,10580,1475,1145,2840,2435,380,105,960,80,410,185,25,25,140,0,35,85,7270,9210,6070,3140,400,0,0,15,0,0,85,210,55,8250,4885,405,3365,1620,1210,320,3930,2585,1350,29.7,350,1041,81267,3930,60410,54919
9,14945,2180,1860,2810,2610,200,265,580,165,540,155,70,95,290,45,35,160,12295,14310,9020,5290,755,0,20,35,15,15,325,185,65,12655,7880,635,4770,1725,1780,795,6020,3230,2790,22.6,300,1127,119581,6020,71646,62463
10,11200,1750,1750,1925,1810,540,330,290,125,60,25,25,20,245,55,0,100,9340,10735,7730,3005,495,0,105,40,80,10,65,120,55,9440,6005,425,3435,1085,1460,450,3885,3290,595,16.3,105,1194,144943,3885,114844,93391
11,18805,2760,2550,3645,5180,1315,595,1190,370,290,85,130,100,530,235,165,165,13570,17920,13090,4835,605,0,30,0,135,0,115,175,75,16000,9635,735,6370,2645,2850,1025,6900,5840,1060,22.7,410,1108,88741,6895,80894,69740
12,10435,1355,1165,2570,1445,245,275,120,210,65,105,25,30,255,60,0,40,8920,10090,7115,2975,310,0,0,55,0,0,20,200,0,9070,5440,450,3630,1015,1520,470,4365,3280,1090,21.5,260,1112,100337,4365,74376,64297
13,10925,1780,1425,1920,4250,1200,295,1000,585,295,130,50,285,215,35,115,55,6265,9870,6055,3815,885,115,0,140,30,45,75,325,35,8675,5530,555,3150,1685,1765,520,4045,2250,1790,30,455,1078,67704,4045,56010,50570
14,38070,5165,4330,6530,12355,2535,1235,2150,1405,1040,210,765,390,1590,225,525,300,25060,35490,19625,15865,3305,155,305,380,675,120,505,885,180,32325,21295,1565,11025,4080,5315,2155,16250,9955,6290,26.4,815,1072,87747,16250,66537,57658
15,9175,1730,1015,1720,1005,245,280,80,75,50,0,25,0,165,45,0,25,8100,8620,5905,2715,130,0,20,0,0,0,10,25,0,7360,4865,295,2495,665,945,310,3505,2965,535,15.3,160,1640,191204,3500,131047,106386
16,24690,3895,2485,3985,3890,1015,350,545,355,390,115,425,120,180,170,110,115,20645,23150,15380,7770,1480,75,65,30,125,90,345,670,35,20575,13650,1095,6925,2750,3315,910,10425,6860,3565,18.5,545,996,100867,10420,78238,67549
17,26550,2970,2335,3915,6700,1055,1095,1300,865,620,445,310,250,205,125,230,195,19640,25020,13420,11595,1570,20,125,175,95,50,250,665,70,23425,16325,1195,7105,3345,4725,1385,13680,7490,6185,27.4,915,1009,87901,13680,64589,55300
18,10905,1480,1390,1485,3260,460,140,1215,505,215,110,110,45,70,65,250,75,7410,10110,5930,4180,485,30,20,45,20,0,80,130,95,9190,5880,520,3315,1740,1865,510,5170,2160,3005,24.3,600,777,70398,5165,44141,40859
19,9630,1325,1130,1215,2005,245,170,330,380,340,35,65,35,105,40,145,115,7590,9110,5215,3895,505,0,0,90,0,0,155,160,0,8280,5870,505,2410,1455,1705,345,4515,2270,2245,29.1,425,922,77549,4515,52771,47680
20,11900,1660,1335,1980,1955,500,285,205,540,125,0,40,0,20,50,135,30,9910,11255,8300,2955,375,0,0,75,0,0,45,205,15,10210,6735,500,3470,2290,2090,455,4665,3635,1030,18.2,375,984,83584,4660,71585,61402
21,12530,2305,1740,2265,7340,3980,65,1195,140,555,265,550,335,0,0,140,120,5165,11800,8170,3635,1055,180,0,30,590,0,140,0,40,10255,5800,645,4450,3745,1365,310,3790,2745,1045,29.2,155,907,65757,3790,57786,53272
22,15850,3160,2260,2005,11725,3800,195,3005,605,1870,180,875,195,100,0,495,405,4105,14705,8590,6115,1890,115,0,250,625,30,555,15,260,12665,7845,1030,4825,3475,2105,570,5115,2660,2455,28.5,375,966,59697,5115,51959,48655
23,8705,1475,1135,1485,3240,480,130,945,225,470,85,425,110,45,20,135,170,5385,8135,6445,1685,225,0,0,35,0,45,85,15,0,7105,4505,440,2605,1835,1610,175,2975,2525,450,20.8,190,1019,76800,2975,67412,59842
24,22060,5110,3380,2560,17805,2575,835,7035,575,1430,865,2455,475,40,0,1095,410,4130,20095,11410,8690,2700,610,0,325,275,170,565,110,555,16905,9585,1300,7320,5635,2595,450,7250,2390,4855,25.9,1070,846,52499,7250,41878,39986
25,31395,6535,4550,4720,23905,2660,1405,7190,720,5085,565,4020,370,30,0,605,1245,7120,28960,18415,10540,2755,300,30,425,485,70,1000,95,235,24320,13075,1755,11245,9295,2970,670,10000,4950,5055,26.7,1145,818,56582,10005,46475,44488
26,34650,6040,4235,5240,18135,1495,690,5995,2805,3060,315,2150,250,95,55,600,625,16370,32330,19135,13200,3600,185,45,1300,220,40,1105,190,360,28610,17550,1760,11065,9055,4535,1260,13265,6145,7125,25.9,1200,905,61994,13270,47173,44087
27,27715,4410,5030,3525,17710,4420,1920,4590,1560,1270,355,1415,585,315,115,530,630,9595,25665,13515,12145,3165,380,305,515,700,60,455,215,445,22875,13590,1545,9285,5490,3425,1140,10315,4650,5660,33.3,810,911,59770,10310,45534,42916
28,9950,2245,1305,1755,6125,485,55,3825,355,670,100,370,40,0,20,95,115,3765,9065,6320,2745,425,0,0,60,45,0,195,0,105,7630,4170,605,3465,2365,1310,320,3655,1495,2160,27.8,290,740,59004,3655,43976,41187
29,10195,1615,1140,2075,4390,1310,175,725,1000,695,40,200,75,0,0,75,95,5550,9375,6225,3145,930,0,0,325,375,0,160,0,20,8260,5205,360,3055,2550,1205,325,3555,1990,1565,19.6,385,936,68718,3555,57721,52174
30,17785,3555,2445,2185,11220,1615,615,4490,720,1660,95,1265,45,40,0,285,400,6280,16205,9910,6300,1550,70,0,300,130,0,595,125,265,13975,8695,835,5280,3825,2425,630,6390,2660,3730,27,570,893,60364,6390,47040,43512
31,14685,2145,1680,3445,6115,755,800,1565,935,725,110,500,175,10,15,290,225,7705,13185,9025,4165,825,0,45,310,80,0,175,80,35,11640,6950,710,4690,3635,1615,445,5240,2965,2280,25.5,540,916,70539,5240,54093,49803
32,22080,4755,2820,4055,8225,545,375,2620,3360,400,50,215,225,40,35,170,195,12975,19525,12145,7380,2630,125,0,1635,30,40,190,165,70,16445,9705,735,6745,2365,2740,960,8135,3445,4690,27.9,610,904,86616,8135,49762,45087
33,14610,2580,1715,2120,5010,375,275,555,3090,205,30,50,45,60,20,115,195,9540,13595,8470,5130,1470,0,25,1010,0,45,40,215,70,11975,8165,610,3810,1865,1705,815,5540,2925,2610,24.7,370,938,89550,5535,61094,54498
34,15435,2310,1810,2825,4340,530,360,475,1340,495,135,60,435,195,15,90,195,10745,14250,8250,5995,1690,265,30,440,105,55,195,520,25,12825,8050,625,4775,2450,2210,565,6020,3230,2790,26.9,320,1015,76914,6020,56563,51076
35,25445,3535,3185,4710,8765,555,560,855,4085,390,270,65,665,745,60,75,425,16600,24100,12325,11780,4840,565,75,1730,75,590,130,1600,25,21780,13480,1240,8300,2550,3800,1545,10095,4055,6040,36,1295,1095,62791,10095,45888,42465
36,23050,2855,3030,3705,11630,815,1845,425,3460,225,190,130,1710,2220,110,30,470,11220,21805,10920,10885,4205,985,550,1700,105,205,65,485,0,19995,12080,1175,7915,2205,2810,1295,8620,4890,3730,34.4,570,1135,66505,8620,50150,46815
37,15005,1670,1705,2965,7410,605,2735,255,450,190,165,45,1275,1435,95,20,155,7555,14300,7160,7140,1535,570,385,80,85,20,80,215,25,13210,7715,490,5500,1270,1640,980,6680,4555,2120,34,300,1117,83632,6675,60537,54226
38,14640,2315,1760,1970,4945,365,1340,410,800,165,205,70,665,640,115,50,120,9610,13740,7405,6335,1760,515,275,195,65,65,100,445,0,12270,8210,655,4055,895,1695,635,5985,3525,2460,28.3,525,1332,105947,5985,70571,60980
39,23185,4715,2935,3615,4090,355,580,390,1655,245,205,25,160,165,120,40,145,18845,21430,13565,7870,1340,85,55,675,0,0,55,145,140,18220,11680,735,6540,1890,2055,1115,8715,5960,2755,21.2,485,1124,161110,8715,90934,76160
40,17955,2725,2770,2680,7725,1080,3220,400,495,220,135,120,820,900,115,50,170,10165,17235,10455,6785,1590,340,650,55,135,0,130,185,30,15260,9610,810,5650,1435,1855,1045,6460,4290,2180,26.3,215,1270,162988,6460,94271,80145
41,8715,1410,1360,1510,1965,210,990,25,90,30,30,0,325,75,100,0,80,6685,8400,5315,3080,350,35,40,35,0,0,10,70,30,7195,4275,245,2920,630,695,355,3005,2805,200,18.7,95,2388,356777,3005,208674,161448
42,26910,3710,2720,6095,11935,2340,4295,940,970,315,595,200,980,615,250,115,335,14595,25350,14865,10490,2060,325,585,265,170,30,175,260,120,22855,14005,985,8850,2300,3385,1400,11770,7035,4735,25.8,570,1213,115239,11770,70039,60203
43,17180,2735,1900,3160,9390,2905,765,1740,1000,330,885,215,670,150,65,330,350,7470,15830,9430,6395,1610,185,40,320,355,85,225,110,215,14125,8450,915,5680,2790,2795,785,7285,3085,4205,21.9,750,867,65104,7285,47529,43743
44,22165,4455,3085,2685,17115,7350,1405,2395,1785,650,350,360,1880,265,25,340,310,5045,20605,10880,9720,3045,410,215,220,1255,90,235,205,275,17710,10370,1585,7335,3615,2930,995,8035,3755,4280,34.8,970,932,55824,8035,46554,43511
45,34620,6100,4710,4885,17715,3780,2910,3630,1940,1000,1200,190,1270,815,185,310,500,16840,32465,17615,14850,3910,510,300,690,685,225,515,525,350,28465,18490,2070,9975,3860,4525,1535,13140,5365,7775,23.1,1050,1114,74645,13140,59027,52550
46,16145,2270,2010,2855,10230,1615,5800,535,570,215,370,30,440,160,85,110,300,5905,15415,10010,5405,1615,85,955,0,180,45,120,80,65,13890,8210,815,5675,2580,1980,835,5525,4215,1310,28.4,405,1075,71782,5525,65197,60065
47,26735,4160,3375,4140,18195,3070,7340,1290,1650,545,520,235,2095,625,175,210,440,8280,24975,13775,11200,4365,1000,1440,525,455,170,225,355,75,22370,13850,1535,8515,2665,3105,1830,9750,5010,4735,32.1,710,1114,69884,9750,56780,51247
48,17650,2100,2480,3830,12525,1150,8295,690,420,95,200,215,625,480,45,115,200,4900,16860,11795,5065,1360,60,895,20,110,20,80,65,30,15335,8320,750,7015,1985,2220,1320,6545,5060,1485,27.2,515,678,81484,6545,64522,57682
49,13535,1640,1890,3200,8210,850,4300,575,45,40,215,70,900,885,120,80,135,4965,12710,8245,4465,980,300,400,0,55,25,20,80,75,11525,6620,690,4900,1420,1555,925,4720,2795,1930,25.1,230,1459,88861,4720,70294,61716
50,16425,1745,2190,3025,10790,925,4545,235,440,90,160,50,2075,1900,95,90,185,5125,15365,8250,7115,1925,745,790,100,110,0,0,70,35,14195,8325,775,5875,1620,1480,1120,6230,4210,2015,35.6,375,1203,84163,6225,61490,54195
51,45025,5005,6470,5030,31410,2215,14425,1100,600,515,1100,260,4795,5025,515,85,770,13535,42945,18190,24755,6650,1985,2980,155,270,165,400,375,215,39910,24755,1945,15155,2675,4040,2815,19635,13515,6120,38,460,1453,80607,19635,64362,55154
52,17675,2050,2145,2990,10615,855,4735,725,465,210,195,190,1505,1235,165,50,295,6680,16650,8355,8295,2010,450,625,155,125,90,210,230,25,15210,9555,800,5655,1260,1965,975,7375,4805,2565,34.7,340,1441,92800,7375,67186,58028
53,11340,2185,1495,1095,8525,2310,2075,940,1185,105,575,120,780,180,0,90,150,2885,10645,4735,5910,2555,385,430,605,510,190,90,155,75,9220,5820,745,3400,920,1385,570,4095,1450,2650,32.5,235,1156,65901,4095,52675,47659
54,18315,3185,2310,2515,6410,1680,680,1435,965,340,0,260,435,50,105,185,265,11735,17060,10520,6535,1300,30,50,230,440,0,205,75,145,14960,9340,860,5625,2950,2755,665,7400,3600,3805,23.9,780,865,73050,7405,54491,48969
55,19225,5065,2205,1960,14785,9450,395,680,1480,355,290,135,1420,60,55,205,260,4315,17050,6785,10265,4165,420,40,275,2385,75,140,405,230,14040,7985,1250,6055,2590,1840,770,6710,610,6105,43,730,1055,49530,6710,40795,38645
56,17010,3415,2030,2665,2180,365,695,240,150,80,50,80,110,180,145,20,65,14275,15450,10620,4835,380,40,50,40,20,35,10,85,0,13010,8695,660,4310,1130,1600,660,6550,4780,1770,14.3,350,1158,158847,6550,102666,85039
57,11565,1585,1135,1565,2620,370,490,490,520,180,145,40,70,90,90,115,20,8820,10795,5940,4855,1035,30,70,240,35,15,90,420,65,9895,6520,715,3380,1845,1845,570,5615,1915,3695,30.1,575,940,67940,5610,45969,41036
58,9115,1365,915,1405,2310,360,680,235,600,60,0,85,25,70,100,45,45,6785,8650,5790,2860,240,0,0,85,0,0,45,45,0,7735,5175,340,2560,1255,1525,400,3855,2670,1185,20,305,959,90478,3860,72230,61174
59,16710,2600,1545,2370,2415,630,910,255,195,35,0,85,35,50,60,60,95,6960,15545,10755,4800,425,0,20,30,0,30,65,130,45,14035,9740,680,4295,2705,2405,535,6950,5005,1945,20.6,775,923,83989,6950,70739,63221
60,7825,1075,765,1055,3025,585,835,630,200,175,15,115,35,70,50,105,200,8650,7385,4625,2760,150,0,0,0,10,0,25,20,0,6745,4430,375,2315,1110,1440,340,3485,2380,1095,23.6,525,823,74945,3480,65259,56681
61,15595,3030,1760,1600,9990,5670,830,1235,695,305,70,395,280,70,35,170,235,5405,14195,6595,7600,3165,230,170,165,1850,80,130,190,280,12355,7990,1295,4360,2145,1915,490,6295,2260,4035,36.6,790,882,51131,6295,40915,37875
62,20840,3535,2230,2200,5860,1260,1335,1175,835,145,230,175,165,95,75,110,265,14610,19155,11105,8050,1080,0,30,225,295,40,65,215,105,16950,11970,935,4970,2660,2740,645,9115,4930,4185,25.2,970,831,90812,9115,63526,56179
63,21135,3685,2125,2310,2235,445,455,350,175,130,0,80,20,120,145,175,115,18710,19705,11890,7815,505,0,20,40,0,0,35,230,0,17265,12995,845,4270,1445,2625,700,9375,6240,3140,22.1,640,1154,139757,9375,85028,70957
64,11705,2035,1115,1045,2355,430,685,355,295,45,135,95,45,0,45,100,125,5445,10765,6855,3910,255,0,50,0,30,0,35,30,0,9635,6925,485,2700,1405,1740,410,5205,3250,1965,18.6,560,782,90338,5205,72937,63343
65,14075,2160,1490,1595,5835,1125,2310,985,405,110,25,245,135,60,70,120,250,8160,13030,8105,4915,535,0,95,35,195,0,50,80,35,11845,7815,795,4030,2565,1905,510,6005,3715,2285,24.3,855,829,76085,6005,57853,52770
66,9450,1540,1010,1370,4375,735,1680,500,395,190,0,140,215,35,150,130,205,12260,8735,5875,2860,185,0,0,35,0,0,20,60,0,7845,5195,335,2650,1630,1120,205,3905,2490,1410,20.3,320,828,88629,3905,69640,62482
67,7655,1140,730,1055,1310,210,365,120,85,115,0,55,20,100,120,35,65,6190,7110,4220,2895,175,0,0,0,0,0,40,35,0,6420,4685,355,1735,720,1040,250,3535,1665,1865,27.3,365,1075,112244,3535,62185,55536
